alpha,beta,rho,fitted_exponent
0.4133,0.3600,0.9477,0.572975
0.4133,0.3600,0.9766,0.572324
0.4133,0.3600,0.9941,0.571610
0.4133,0.3600,1.0000,0.570834
0.4133,0.4133,-1.0000,1.039628
0.4133,0.4133,-0.9941,1.036729
0.4133,0.4133,-0.9766,1.034086
0.4133,0.4133,-0.9477,1.031706
0.4133,0.4133,-0.9076,1.029594
0.4133,0.4133,-0.8569,1.027752
0.4133,0.4133,-0.7961,1.026180
0.4133,0.4133,-0.7260,1.024876
0.4133,0.4133,-0.6474,1.023835
0.4133,0.4133,-0.5612,1.023053
0.4133,0.4133,-0.4684,1.022521
0.4133,0.4133,-0.3701,1.022232
0.4133,0.4133,-0.2675,1.022176
0.4133,0.4133,-0.1618,1.022344
0.4133,0.4133,-0.0541,1.022724
0.4133,0.4133,0.0541,1.023306
0.4133,0.4133,0.1618,1.024078
0.4133,0.4133,0.2675,1.025029
0.4133,0.4133,0.3701,1.026148
0.4133,0.4133,0.4684,1.027423
0.4133,0.4133,0.5612,1.028843
0.4133,0.4133,0.6474,1.030398
0.4133,0.4133,0.7260,1.032078
0.4133,0.4133,0.7961,1.033872
0.4133,0.4133,0.8569,1.035771
0.4133,0.4133,0.9076,1.037765
0.4133,0.4133,0.9477,1.039847
0.4133,0.4133,0.9766,1.042008
0.4133,0.4133,0.9941,1.044239
0.4133,0.4133,1.0000,1.046535
0.4667,0.2000,-1.0000,0.583364
0.4667,0.2000,-0.9941,0.579531
0.4667,0.2000,-0.9766,0.575069
0.4667,0.2000,-0.9477,0.565003
0.4667,0.2000,-0.9076,0.552145
0.4667,0.2000,-0.8569,0.513158
0.4667,0.2000,-0.7961,0.462429
0.4667,0.2000,-0.7260,0.398307
0.4667,0.2000,-0.6474,0.297071
0.4667,0.2000,-0.5612,0.173035
0.4667,0.2000,-0.4684,0.082870
0.4667,0.2000,-0.3701,0.098919
0.4667,0.2000,-0.2675,0.398880
0.4667,0.2000,-0.1618,0.707871
0.4667,0.2000,-0.0541,0.714736
0.4667,0.2000,0.0541,0.248691
0.4667,0.2000,0.1618,0.322066
0.4667,0.2000,0.2675,0.377373
0.4667,0.2000,0.3701,0.416171
0.4667,0.2000,0.4684,0.446046
0.4667,0.2000,0.5612,0.469796
0.4667,0.2000,0.6474,0.489139
0.4667,0.2000,0.7260,0.505195
0.4667,0.2000,0.7961,0.518730
0.4667,0.2000,0.8569,0.530282
0.4667,0.2000,0.9076,0.540247
0.4667,0.2000,0.9477,0.548918
0.4667,0.2000,0.9766,0.556519
0.4667,0.2000,0.9941,0.563223
0.4667,0.2000,1.0000,0.569168
0.4667,0.2533,-1.0000,0.547607
0.4667,0.2533,-0.9941,0.519062
0.4667,0.2533,-0.9766,0.478952
0.4667,0.2533,-0.9477,0.430873
0.4667,0.2533,-0.9076,0.360482
0.4667,0.2533,-0.8569,0.264252
0.4667,0.2533,-0.7961,0.160137
0.4667,0.2533,-0.7260,0.073153
0.4667,0.2533,-0.6474,0.036251
0.4667,0.2533,-0.5612,0.085723
0.4667,0.2533,-0.4684,0.268482
0.4667,0.2533,-0.3701,0.653630
0.4667,0.2533,-0.2675,0.845382
0.4667,0.2533,-0.1618,0.848348
0.4667,0.2533,-0.0541,0.684500
0.4667,0.2533,0.0541,0.298041
0.4667,0.2533,0.1618,0.345282
0.4667,0.2533,0.2675,0.381967
0.4667,0.2533,0.3701,0.411367
0.4667,0.2533,0.4684,0.435491
0.4667,0.2533,0.5612,0.455653
0.4667,0.2533,0.6474,0.472755
0.4667,0.2533,0.7260,0.487438
0.4667,0.2533,0.7961,0.500171
0.4667,0.2533,0.8569,0.511307
0.4667,0.2533,0.9076,0.521116
0.4667,0.2533,0.9477,0.529809
0.4667,0.2533,0.9766,0.537551
0.4667,0.2533,0.9941,0.544477
0.4667,0.2533,1.0000,0.550695
0.4667,0.3067,-1.0000,0.125113
0.4667,0.3067,-0.9941,0.055117
0.4667,0.3067,-0.9766,0.018401
0.4667,0.3067,-0.9477,0.014764
0.4667,0.3067,-0.9076,0.048175
0.4667,0.3067,-0.8569,0.143690
0.4667,0.3067,-0.7961,0.331269
0.4667,0.3067,-0.7260,0.648105
0.4667,0.3067,-0.6474,0.864693
0.4667,0.3067,-0.5612,0.926435
0.4667,0.3067,-0.4684,0.923720
0.4667,0.3067,-0.3701,0.901687
0.4667,0.3067,-0.2675,0.865574
0.4667,0.3067,-0.1618,0.799921
0.4667,0.3067,-0.0541,0.639334
0.4667,0.3067,0.0541,0.364069
0.4667,0.3067,0.1618,0.388347
0.4667,0.3067,0.2675,0.409217
0.4667,0.3067,0.3701,0.427353
0.4667,0.3067,0.4684,0.443252
0.4667,0.3067,0.5612,0.457296
0.4667,0.3067,0.6474,0.469781
0.4667,0.3067,0.7260,0.480942
0.4667,0.3067,0.7961,0.490965
0.4667,0.3067,0.8569,0.500003
0.4667,0.3067,0.9076,0.508182
0.4667,0.3067,0.9477,0.515603
0.4667,0.3067,0.9766,0.522353
0.4667,0.3067,0.9941,0.528505
0.4667,0.3067,1.0000,0.534119
0.4667,0.3600,-1.0000,0.970029
0.4667,0.3600,-0.9941,0.966978
0.4667,0.3600,-0.9766,0.963397
0.4667,0.3600,-0.9477,0.959172
0.4667,0.3600,-0.9076,0.954152
0.4667,0.3600,-0.8569,0.948132
0.4667,0.3600,-0.7961,0.940826
0.4667,0.3600,-0.7260,0.931828
0.4667,0.3600,-0.6474,0.920531
0.4667,0.3600,-0.5612,0.905996
0.4667,0.3600,-0.4684,0.886683
0.4667,0.3600,-0.3701,0.859863
0.4667,0.3600,-0.2675,0.820184
