alpha,beta,rho,fitted_exponent
0.3600,0.3067,0.1618,0.230324
0.3600,0.3067,0.2675,0.228514
0.3600,0.3067,0.3701,0.223855
0.3600,0.3067,0.4684,0.220487
0.3600,0.3067,0.5612,0.218094
0.3600,0.3067,0.6474,0.215935
0.3600,0.3067,0.7260,0.212621
0.3600,0.3067,0.7961,0.211417
0.3600,0.3067,0.8569,0.208643
0.3600,0.3067,0.9076,0.205528
0.3600,0.3067,0.9477,0.204031
0.3600,0.3067,0.9766,0.202335
0.3600,0.3067,0.9941,0.199984
0.3600,0.3067,1.0000,0.198331
0.3600,0.3600,-1.0000,0.800677
0.3600,0.3600,-0.9941,0.784783
0.3600,0.3600,-0.9766,0.767569
0.3600,0.3600,-0.9477,0.751872
0.3600,0.3600,-0.9076,0.739365
0.3600,0.3600,-0.8569,0.727462
0.3600,0.3600,-0.7961,0.717400
0.3600,0.3600,-0.7260,0.710328
0.3600,0.3600,-0.6474,0.702043
0.3600,0.3600,-0.5612,0.696565
0.3600,0.3600,-0.4684,0.690368
0.3600,0.3600,-0.3701,0.686216
0.3600,0.3600,-0.2675,0.683435
0.3600,0.3600,-0.1618,0.680910
0.3600,0.3600,-0.0541,0.678467
0.3600,0.3600,0.0541,0.676123
0.3600,0.3600,0.1618,0.675474
0.3600,0.3600,0.2675,0.676416
0.3600,0.3600,0.3701,0.676747
0.3600,0.3600,0.4684,0.678036
0.3600,0.3600,0.5612,0.680439
0.3600,0.3600,0.6474,0.682670
0.3600,0.3600,0.7260,0.685074
0.3600,0.3600,0.7961,0.688460
0.3600,0.3600,0.8569,0.693298
0.3600,0.3600,0.9076,0.699058
0.3600,0.3600,0.9477,0.703809
0.3600,0.3600,0.9766,0.709658
0.3600,0.3600,0.9941,0.717985
0.3600,0.3600,1.0000,0.726019
0.4133,0.2000,-1.0000,0.522752
0.4133,0.2000,-0.9941,0.533483
0.4133,0.2000,-0.9766,0.547414
0.4133,0.2000,-0.9477,0.564531
0.4133,0.2000,-0.9076,0.580437
0.4133,0.2000,-0.8569,0.599437
0.4133,0.2000,-0.7961,0.619297
0.4133,0.2000,-0.7260,0.640217
0.4133,0.2000,-0.6474,0.660251
0.4133,0.2000,-0.5612,0.681646
0.4133,0.2000,-0.4684,0.699554
0.4133,0.2000,-0.3701,0.711099
0.4133,0.2000,-0.2675,0.706679
0.4133,0.2000,-0.1618,0.665680
0.4133,0.2000,-0.0541,0.480076
0.4133,0.2000,0.0541,0.405116
0.4133,0.2000,0.1618,0.603178
0.4133,0.2000,0.2675,0.659515
0.4133,0.2000,0.3701,0.675285
0.4133,0.2000,0.4684,0.672281
0.4133,0.2000,0.5612,0.659909
0.4133,0.2000,0.6474,0.643965
0.4133,0.2000,0.7260,0.625722
0.4133,0.2000,0.7961,0.609555
0.4133,0.2000,0.8569,0.590430
0.4133,0.2000,0.9076,0.575004
0.4133,0.2000,0.9477,0.558494
0.4133,0.2000,0.9766,0.546240
0.4133,0.2000,0.9941,0.533475
0.4133,0.2000,1.0000,0.521062
0.4133,0.2533,-1.0000,0.478303
0.4133,0.2533,-0.9941,0.488424
0.4133,0.2533,-0.9766,0.500854
0.4133,0.2533,-0.9477,0.514931
0.4133,0.2533,-0.9076,0.529207
0.4133,0.2533,-0.8569,0.545332
0.4133,0.2533,-0.7961,0.560965
0.4133,0.2533,-0.7260,0.577603
0.4133,0.2533,-0.6474,0.592953
0.4133,0.2533,-0.5612,0.610602
0.4133,0.2533,-0.4684,0.619734
0.4133,0.2533,-0.3701,0.619850
0.4133,0.2533,-0.2675,0.604922
0.4133,0.2533,-0.1618,0.544480
0.4133,0.2533,-0.0541,0.340096
0.4133,0.2533,0.0541,0.300368
0.4133,0.2533,0.1618,0.491661
0.4133,0.2533,0.2675,0.560203
0.4133,0.2533,0.3701,0.585732
0.4133,0.2533,0.4684,0.590465
0.4133,0.2533,0.5612,0.586220
0.4133,0.2533,0.6474,0.578236
0.4133,0.2533,0.7260,0.565756
0.4133,0.2533,0.7961,0.552353
0.4133,0.2533,0.8569,0.537522
0.4133,0.2533,0.9076,0.525973
0.4133,0.2533,0.9477,0.512474
0.4133,0.2533,0.9766,0.499712
0.4133,0.2533,0.9941,0.486936
0.4133,0.2533,1.0000,0.474102
0.4133,0.3067,-1.0000,0.297051
0.4133,0.3067,-0.9941,0.306680
0.4133,0.3067,-0.9766,0.320648
0.4133,0.3067,-0.9477,0.336125
0.4133,0.3067,-0.9076,0.355400
0.4133,0.3067,-0.8569,0.378104
0.4133,0.3067,-0.7961,0.404384
0.4133,0.3067,-0.7260,0.427095
0.4133,0.3067,-0.6474,0.439465
0.4133,0.3067,-0.5612,0.446274
0.4133,0.3067,-0.4684,0.453356
0.4133,0.3067,-0.3701,0.456142
0.4133,0.3067,-0.2675,0.464902
0.4133,0.3067,-0.1618,0.486778
0.4133,0.3067,-0.0541,0.401840
0.4133,0.3067,0.0541,0.349886
0.4133,0.3067,0.1618,0.369231
0.4133,0.3067,0.2675,0.345892
0.4133,0.3067,0.3701,0.323881
0.4133,0.3067,0.4684,0.310423
0.4133,0.3067,0.5612,0.299266
0.4133,0.3067,0.6474,0.290742
0.4133,0.3067,0.7260,0.283592
0.4133,0.3067,0.7961,0.278381
0.4133,0.3067,0.8569,0.274178
0.4133,0.3067,0.9076,0.270063
0.4133,0.3067,0.9477,0.267311
0.4133,0.3067,0.9766,0.265647
0.4133,0.3067,0.9941,0.261231
0.4133,0.3067,1.0000,0.260988
0.4133,0.3600,-1.0000,0.807794
0.4133,0.3600,-0.9941,0.856064
0.4133,0.3600,-0.9766,0.870402
0.4133,0.3600,-0.9477,0.874970
0.4133,0.3600,-0.9076,0.875142
0.4133,0.3600,-0.8569,0.868160
0.4133,0.3600,-0.7961,0.859064
0.4133,0.3600,-0.7260,0.846519
0.4133,0.3600,-0.6474,0.831724
0.4133,0.3600,-0.5612,0.810861
0.4133,0.3600,-0.4684,0.784368
0.4133,0.3600,-0.3701,0.747217
0.4133,0.3600,-0.2675,0.689229
0.4133,0.3600,-0.1618,0.562428
0.4133,0.3600,-0.0541,0.323206
0.4133,0.3600,0.0541,0.205215
0.4133,0.3600,0.1618,0.204220
0.4133,0.3600,0.2675,0.201762
0.4133,0.3600,0.3701,0.199899
0.4133,0.3600,0.4684,0.197222
0.4133,0.3600,0.5612,0.194573
0.4133,0.3600,0.6474,0.192642
0.4133,0.3600,0.7260,0.190817
0.4133,0.3600,0.7961,0.188964
0.4133,0.3600,0.8569,0.186870
0.4133,0.3600,0.9076,0.184263
0.4133,0.3600,0.9477,0.182709
0.4133,0.3600,0.9766,0.180926
0.4133,0.3600,0.9941,0.178990
0.4133,0.3600,1.0000,0.176867
0.4133,0.4133,-1.0000,0.891812
0.4133,0.4133,-0.9941,0.875992
0.4133,0.4133,-0.9766,0.860874
0.4133,0.4133,-0.9477,0.846071
0.4133,0.4133,-0.9076,0.835083
0.4133,0.4133,-0.8569,0.824245
0.4133,0.4133,-0.7961,0.814930
0.4133,0.4133,-0.7260,0.806940
0.4133,0.4133,-0.6474,0.798998
0.4133,0.4133,-0.5612,0.792497
0.4133,0.4133,-0.4684,0.789288
0.4133,0.4133,-0.3701,0.783006
0.4133,0.4133,-0.2675,0.781456
0.4133,0.4133,-0.1618,0.779242
0.4133,0.4133,-0.0541,0.776729
0.4133,0.4133,0.0541,0.776229
0.4133,0.4133,0.1618,0.776141
0.4133,0.4133,0.2675,0.775907
0.4133,0.4133,0.3701,0.777365
0.4133,0.4133,0.4684,0.780453
0.4133,0.4133,0.5612,0.783239
0.4133,0.4133,0.6474,0.787729
0.4133,0.4133,0.7260,0.791968
0.4133,0.4133,0.7961,0.797615
0.4133,0.4133,0.8569,0.803587
0.4133,0.4133,0.9076,0.810726
0.4133,0.4133,0.9477,0.819983
0.4133,0.4133,0.9766,0.829719
0.4133,0.4133,0.9941,0.841030
0.4133,0.4133,1.0000,0.851814
0.4667,0.2000,-1.0000,0.547638
0.4667,0.2000,-0.9941,0.560891
0.4667,0.2000,-0.9766,0.576330
0.4667,0.2000,-0.9477,0.593977
0.4667,0.2000,-0.9076,0.613186
0.4667,0.2000,-0.8569,0.634037
0.4667,0.2000,-0.7961,0.654541
0.4667,0.2000,-0.7260,0.677686
0.4667,0.2000,-0.6474,0.702940
0.4667,0.2000,-0.5612,0.728536
0.4667,0.2000,-0.4684,0.750143
0.4667,0.2000,-0.3701,0.771514
0.4667,0.2000,-0.2675,0.779715
0.4667,0.2000,-0.1618,0.757819
0.4667,0.2000,-0.0541,0.600263
0.4667,0.2000,0.0541,0.521076
0.4667,0.2000,0.1618,0.703170
0.4667,0.2000,0.2675,0.742836
0.4667,0.2000,0.3701,0.742893
0.4667,0.2000,0.4684,0.729376
0.4667,0.2000,0.5612,0.711550
0.4667,0.2000,0.6474,0.688396
0.4667,0.2000,0.7260,0.668984
0.4667,0.2000,0.7961,0.646736
0.4667,0.2000,0.8569,0.627078
0.4667,0.2000,0.9076,0.606200
0.4667,0.2000,0.9477,0.589707
0.4667,0.2000,0.9766,0.572938
0.4667,0.2000,0.9941,0.560482
0.4667,0.2000,1.0000,0.545554
0.4667,0.2533,-1.0000,0.529621
0.4667,0.2533,-0.9941,0.541689
0.4667,0.2533,-0.9766,0.556961
0.4667,0.2533,-0.9477,0.571328
0.4667,0.2533,-0.9076,0.589536
0.4667,0.2533,-0.8569,0.609642
0.4667,0.2533,-0.7961,0.629128
0.4667,0.2533,-0.7260,0.651358
0.4667,0.2533,-0.6474,0.672719
0.4667,0.2533,-0.5612,0.694535
0.4667,0.2533,-0.4684,0.713512
0.4667,0.2533,-0.3701,0.726672
0.4667,0.2533,-0.2675,0.724200
0.4667,0.2533,-0.1618,0.686424
0.4667,0.2533,-0.0541,0.504797
0.4667,0.2533,0.0541,0.437104
0.4667,0.2533,0.1618,0.633787
0.4667,0.2533,0.2675,0.685670
0.4667,0.2533,0.3701,0.696540
0.4667,0.2533,0.4684,0.688889
0.4667,0.2533,0.5612,0.674907
0.4667,0.2533,0.6474,0.657549
0.4667,0.2533,0.7260,0.638651
0.4667,0.2533,0.7961,0.619189
0.4667,0.2533,0.8569,0.601573
0.4667,0.2533,0.9076,0.584426
0.4667,0.2533,0.9477,0.568666
0.4667,0.2533,0.9766,0.553596
0.4667,0.2533,0.9941,0.538919
0.4667,0.2533,1.0000,0.527510
0.4667,0.3067,-1.0000,0.487112
0.4667,0.3067,-0.9941,0.498157
0.4667,0.3067,-0.9766,0.510560
0.4667,0.3067,-0.9477,0.524514
0.4667,0.3067,-0.9076,0.538524
0.4667,0.3067,-0.8569,0.554444
0.4667,0.3067,-0.7961,0.571978
0.4667,0.3067,-0.7260,0.588739
0.4667,0.3067,-0.6474,0.606605
0.4667,0.3067,-0.5612,0.618892
0.4667,0.3067,-0.4684,0.630927
0.4667,0.3067,-0.3701,0.632863
0.4667,0.3067,-0.2675,0.618613
0.4667,0.3067,-0.1618,0.558249
0.4667,0.3067,-0.0541,0.364064
0.4667,0.3067,0.0541,0.315266
0.4667,0.3067,0.1618,0.511892
0.4667,0.3067,0.2675,0.579531
0.4667,0.3067,0.3701,0.599905
0.4667,0.3067,0.4684,0.603101
0.4667,0.3067,0.5612,0.598542
0.4667,0.3067,0.6474,0.585285
0.4667,0.3067,0.7260,0.573861
0.4667,0.3067,0.7961,0.558884
0.4667,0.3067,0.8569,0.545049
0.4667,0.3067,0.9076,0.528908
0.4667,0.3067,0.9477,0.515911
0.4667,0.3067,0.9766,0.502634
0.4667,0.3067,0.9941,0.483383
0.4667,0.3067,1.0000,0.464112
0.4667,0.3600,-1.0000,0.278205
0.4667,0.3600,-0.9941,0.286665
0.4667,0.3600,-0.9766,0.295929
0.4667,0.3600,-0.9477,0.308610
0.4667,0.3600,-0.9076,0.335776
0.4667,0.3600,-0.8569,0.363984
0.4667,0.3600,-0.7961,0.406228
0.4667,0.3600,-0.7260,0.456809
0.4667,0.3600,-0.6474,0.486467
0.4667,0.3600,-0.5612,0.564915
0.4667,0.3600,-0.4684,0.614941
0.4667,0.3600,-0.3701,0.673457
0.4667,0.3600,-0.2675,0.661466
0.4667,0.3600,-0.1618,0.604441
0.4667,0.3600,-0.0541,0.463707
0.4667,0.3600,0.0541,0.298602
0.4667,0.3600,0.1618,0.292591
0.4667,0.3600,0.2675,0.283359
0.4667,0.3600,0.3701,0.278406
0.4667,0.3600,0.4684,0.273998
0.4667,0.3600,0.5612,0.270594
0.4667,0.3600,0.6474,0.266791
0.4667,0.3600,0.7260,0.264617
0.4667,0.3600,0.7961,0.261976
0.4667,0.3600,0.8569,0.260191
0.4667,0.3600,0.9076,0.257822
0.4667,0.3600,0.9477,0.256133
0.4667,0.3600,0.9766,0.255262
0.4667,0.3600,0.9941,0.253680
0.4667,0.3600,1.0000,0.252112
0.4667,0.4133,-1.0000,0.867939
0.4667,0.4133,-0.9941,0.870952
0.4667,0.4133,-0.9766,0.869110
0.4667,0.4133,-0.9477,0.866299
0.4667,0.4133,-0.9076,0.860988
0.4667,0.4133,-0.8569,0.852152
0.4667,0.4133,-0.7961,0.843759
0.4667,0.4133,-0.7260,0.831992
0.4667,0.4133,-0.6474,0.814824
0.4667,0.4133,-0.5612,0.794830
0.4667,0.4133,-0.4684,0.768206
0.4667,0.4133,-0.3701,0.726092
0.4667,0.4133,-0.2675,0.672218
0.4667,0.4133,-0.1618,0.571594
0.4667,0.4133,-0.0541,0.351583
0.4667,0.4133,0.0541,0.200888
0.4667,0.4133,0.1618,0.198115
0.4667,0.4133,0.2675,0.196473
0.4667,0.4133,0.3701,0.194631
0.4667,0.4133,0.4684,0.192260
0.4667,0.4133,0.5612,0.191346
0.4667,0.4133,0.6474,0.189427
0.4667,0.4133,0.7260,0.187176
0.4667,0.4133,0.7961,0.184724
0.4667,0.4133,0.8569,0.182297
0.4667,0.4133,0.9076,0.179826
0.4667,0.4133,0.9477,0.178058
0.4667,0.4133,0.9766,0.176611
0.4667,0.4133,0.9941,0.174145
0.4667,0.4133,1.0000,0.171274
0.4667,0.4667,-1.0000,0.961046
0.4667,0.4667,-0.9941,0.953423
0.4667,0.4667,-0.9766,0.945182
0.4667,0.4667,-0.9477,0.937807
0.4667,0.4667,-0.9076,0.930967
0.4667,0.4667,-0.8569,0.923114
0.4667,0.4667,-0.7961,0.916727
0.4667,0.4667,-0.7260,0.910490
0.4667,0.4667,-0.6474,0.906259
0.4667,0.4667,-0.5612,0.901745
0.4667,0.4667,-0.4684,0.897924
0.4667,0.4667,-0.3701,0.894092
0.4667,0.4667,-0.2675,0.893765
0.4667,0.4667,-0.1618,0.891432
0.4667,0.4667,-0.0541,0.891329
0.4667,0.4667,0.0541,0.892610
0.4667,0.4667,0.1618,0.892582
0.4667,0.4667,0.2675,0.893868
0.4667,0.4667,0.3701,0.898394
0.4667,0.4667,0.4684,0.902602
0.4667,0.4667,0.5612,0.906940
0.4667,0.4667,0.6474,0.912627
0.4667,0.4667,0.7260,0.917924
0.4667,0.4667,0.7961,0.925553
0.4667,0.4667,0.8569,0.932047
0.4667,0.4667,0.9076,0.941349
0.4667,0.4667,0.9477,0.949664
0.4667,0.4667,0.9766,0.961331
0.4667,0.4667,0.9941,0.971236
0.4667,0.4667,1.0000,0.981635
0.5200,0.2000,-1.0000,0.562182
0.5200,0.2000,-0.9941,0.576106
0.5200,0.2000,-0.9766,0.591524
0.5200,0.2000,-0.9477,0.608369
0.5200,0.2000,-0.9076,0.626501
0.5200,0.2000,-0.8569,0.650346
0.5200,0.2000,-0.7961,0.673480
0.5200,0.2000,-0.7260,0.697465
0.5200,0.2000,-0.6474,0.722918
0.5200,0.2000,-0.5612,0.753297
0.5200,0.2000,-0.4684,0.780374
0.5200,0.2000,-0.3701,0.805430
0.5200,0.2000,-0.2675,0.820773
0.5200,0.2000,-0.1618,0.810929
0.5200,0.2000,-0.0541,0.684195
0.5200,0.2000,0.0541,0.605528
0.5200,0.2000,0.1618,0.765946
0.5200,0.2000,0.2675,0.787936
0.5200,0.2000,0.3701,0.779776
0.5200,0.2000,0.4684,0.762320
0.5200,0.2000,0.5612,0.737395
0.5200,0.2000,0.6474,0.713254
0.5200,0.2000,0.7260,0.689072
0.5200,0.2000,0.7961,0.666919
0.5200,0.2000,0.8569,0.645467
0.5200,0.2000,0.9076,0.625275
0.5200,0.2000,0.9477,0.605534
0.5200,0.2000,0.9766,0.589435
0.5200,0.2000,0.9941,0.572107
0.5200,0.2000,1.0000,0.560106
0.5200,0.2533,-1.0000,0.550537
0.5200,0.2533,-0.9941,0.565205
0.5200,0.2533,-0.9766,0.580583
0.5200,0.2533,-0.9477,0.597716
0.5200,0.2533,-0.9076,0.616237
0.5200,0.2533,-0.8569,0.636409
0.5200,0.2533,-0.7961,0.658913
0.5200,0.2533,-0.7260,0.682628
0.5200,0.2533,-0.6474,0.706304
0.5200,0.2533,-0.5612,0.732393
0.5200,0.2533,-0.4684,0.757760
0.5200,0.2533,-0.3701,0.780260
0.5200,0.2533,-0.2675,0.788039
0.5200,0.2533,-0.1618,0.768341
