alpha,beta,rho,fitted_exponent
0.3600,0.2533,-0.3701,1.003164
0.3600,0.2533,-0.2675,0.999237
0.3600,0.2533,-0.1618,0.977022
0.3600,0.2533,-0.0541,0.590570
0.3600,0.2533,0.0541,0.012737
0.3600,0.2533,0.1618,0.012570
0.3600,0.2533,0.2675,0.012501
0.3600,0.2533,0.3701,0.012369
0.3600,0.2533,0.4684,0.012289
0.3600,0.2533,0.5612,0.012185
0.3600,0.2533,0.6474,0.012086
0.3600,0.2533,0.7260,0.012011
0.3600,0.2533,0.7961,0.011961
0.3600,0.2533,0.8569,0.011914
0.3600,0.2533,0.9076,0.011874
0.3600,0.2533,0.9477,0.011826
0.3600,0.2533,0.9766,0.011751
0.3600,0.2533,0.9941,0.011713
0.3600,0.2533,1.0000,0.011632
0.3600,0.3067,-1.0000,1.004083
0.3600,0.3067,-0.9941,1.016114
0.3600,0.3067,-0.9766,1.044151
0.3600,0.3067,-0.9477,1.052309
0.3600,0.3067,-0.9076,1.064988
0.3600,0.3067,-0.8569,1.070412
0.3600,0.3067,-0.7961,1.084056
0.3600,0.3067,-0.7260,1.094407
0.3600,0.3067,-0.6474,1.102725
0.3600,0.3067,-0.5612,1.117422
0.3600,0.3067,-0.4684,1.136477
0.3600,0.3067,-0.3701,1.144392
0.3600,0.3067,-0.2675,1.056960
0.3600,0.3067,-0.1618,0.850022
0.3600,0.3067,-0.0541,0.279657
0.3600,0.3067,0.0541,0.039612
0.3600,0.3067,0.1618,0.039397
0.3600,0.3067,0.2675,0.039177
0.3600,0.3067,0.3701,0.039050
0.3600,0.3067,0.4684,0.038931
0.3600,0.3067,0.5612,0.038882
0.3600,0.3067,0.6474,0.038841
0.3600,0.3067,0.7260,0.038846
0.3600,0.3067,0.7961,0.038865
0.3600,0.3067,0.8569,0.038931
0.3600,0.3067,0.9076,0.039014
0.3600,0.3067,0.9477,0.039127
0.3600,0.3067,0.9766,0.039256
0.3600,0.3067,0.9941,0.039423
0.3600,0.3067,1.0000,0.039604
0.3600,0.3600,-1.0000,0.430599
0.3600,0.3600,-0.9941,0.421171
0.3600,0.3600,-0.9766,0.415194
0.3600,0.3600,-0.9477,0.411507
0.3600,0.3600,-0.9076,0.406594
0.3600,0.3600,-0.8569,0.402275
0.3600,0.3600,-0.7961,0.398837
0.3600,0.3600,-0.7260,0.395623
0.3600,0.3600,-0.6474,0.392928
0.3600,0.3600,-0.5612,0.390843
0.3600,0.3600,-0.4684,0.388298
0.3600,0.3600,-0.3701,0.386567
0.3600,0.3600,-0.2675,0.385467
0.3600,0.3600,-0.1618,0.384438
0.3600,0.3600,-0.0541,0.383475
0.3600,0.3600,0.0541,0.383208
0.3600,0.3600,0.1618,0.382655
0.3600,0.3600,0.2675,0.382599
0.3600,0.3600,0.3701,0.383044
0.3600,0.3600,0.4684,0.383345
0.3600,0.3600,0.5612,0.383798
0.3600,0.3600,0.6474,0.384602
