alpha,beta,rho,fitted_exponent
0.4667,0.2000,0.2675,0.742833
0.4667,0.2000,0.3701,0.742876
0.4667,0.2000,0.4684,0.729391
0.4667,0.2000,0.5612,0.711492
0.4667,0.2000,0.6474,0.688396
0.4667,0.2000,0.7260,0.668984
0.4667,0.2000,0.7961,0.646736
0.4667,0.2000,0.8569,0.627057
0.4667,0.2000,0.9076,0.606200
0.4667,0.2000,0.9477,0.589707
0.4667,0.2000,0.9766,0.572938
0.4667,0.2000,0.9941,0.560482
0.4667,0.2000,1.0000,0.545554
0.4667,0.2533,-1.0000,0.529737
0.4667,0.2533,-0.9941,0.541568
0.4667,0.2533,-0.9766,0.556890
0.4667,0.2533,-0.9477,0.571251
0.4667,0.2533,-0.9076,0.589749
0.4667,0.2533,-0.8569,0.609573
0.4667,0.2533,-0.7961,0.629023
0.4667,0.2533,-0.7260,0.651339
0.4667,0.2533,-0.6474,0.672730
0.4667,0.2533,-0.5612,0.694552
0.4667,0.2533,-0.4684,0.713457
0.4667,0.2533,-0.3701,0.726665
0.4667,0.2533,-0.2675,0.724229
0.4667,0.2533,-0.1618,0.686471
0.4667,0.2533,-0.0541,0.504855
0.4667,0.2533,0.0541,0.437099
0.4667,0.2533,0.1618,0.633826
0.4667,0.2533,0.2675,0.685623
0.4667,0.2533,0.3701,0.696567
0.4667,0.2533,0.4684,0.688889
0.4667,0.2533,0.5612,0.674907
0.4667,0.2533,0.6474,0.657514
0.4667,0.2533,0.7260,0.638651
0.4667,0.2533,0.7961,0.619189
0.4667,0.2533,0.8569,0.601573
0.4667,0.2533,0.9076,0.584413
0.4667,0.2533,0.9477,0.568666
0.4667,0.2533,0.9766,0.553596
0.4667,0.2533,0.9941,0.538919
0.4667,0.2533,1.0000,0.527510
0.4667,0.3067,-1.0000,0.487151
0.4667,0.3067,-0.9941,0.498228
0.4667,0.3067,-0.9766,0.510585
0.4667,0.3067,-0.9477,0.524569
0.4667,0.3067,-0.9076,0.538460
0.4667,0.3067,-0.8569,0.554404
0.4667,0.3067,-0.7961,0.571827
0.4667,0.3067,-0.7260,0.588863
0.4667,0.3067,-0.6474,0.606620
0.4667,0.3067,-0.5612,0.618826
0.4667,0.3067,-0.4684,0.630968
0.4667,0.3067,-0.3701,0.632854
0.4667,0.3067,-0.2675,0.618650
0.4667,0.3067,-0.1618,0.558269
0.4667,0.3067,-0.0541,0.364064
0.4667,0.3067,0.0541,0.315306
0.4667,0.3067,0.1618,0.511898
0.4667,0.3067,0.2675,0.579530
0.4667,0.3067,0.3701,0.599905
0.4667,0.3067,0.4684,0.603101
0.4667,0.3067,0.5612,0.598542
0.4667,0.3067,0.6474,0.585259
0.4667,0.3067,0.7260,0.573861
0.4667,0.3067,0.7961,0.558884
0.4667,0.3067,0.8569,0.545049
0.4667,0.3067,0.9076,0.528908
0.4667,0.3067,0.9477,0.515911
0.4667,0.3067,0.9766,0.502634
0.4667,0.3067,0.9941,0.483383
0.4667,0.3067,1.0000,0.464112
0.4667,0.3600,-1.0000,0.278212
0.4667,0.3600,-0.9941,0.286694
0.4667,0.3600,-0.9766,0.295966
0.4667,0.3600,-0.9477,0.308629
0.4667,0.3600,-0.9076,0.335729
0.4667,0.3600,-0.8569,0.363878
0.4667,0.3600,-0.7961,0.406305
0.4667,0.3600,-0.7260,0.456859
0.4667,0.3600,-0.6474,0.486481
0.4667,0.3600,-0.5612,0.564913
0.4667,0.3600,-0.4684,0.614933
0.4667,0.3600,-0.3701,0.673457
0.4667,0.3600,-0.2675,0.661453
0.4667,0.3600,-0.1618,0.604430
0.4667,0.3600,-0.0541,0.463659
0.4667,0.3600,0.0541,0.298701
0.4667,0.3600,0.1618,0.292514
0.4667,0.3600,0.2675,0.283300
0.4667,0.3600,0.3701,0.278455
0.4667,0.3600,0.4684,0.274043
0.4667,0.3600,0.5612,0.270535
0.4667,0.3600,0.6474,0.266729
0.4667,0.3600,0.7260,0.264651
0.4667,0.3600,0.7961,0.261959
0.4667,0.3600,0.8569,0.260218
0.4667,0.3600,0.9076,0.257822
0.4667,0.3600,0.9477,0.256164
0.4667,0.3600,0.9766,0.255175
0.4667,0.3600,0.9941,0.253599
0.4667,0.3600,1.0000,0.252174
0.4667,0.4133,-1.0000,0.867881
0.4667,0.4133,-0.9941,0.870930
0.4667,0.4133,-0.9766,0.869076
